,score,source,citation
320,-87.2,bbc-news,"""Year after year, headline after headline, Canadians have seen first hand the devastating effects of gun violence. Too many lives lost, too many families shattered. It is time to show courage and strengthen gun control,"""
321,45.88,bbc-news,"""The Grand Tour presents Seamen,"""
322,0.0,bbc-news,"""Which, at our age, is quite an achievement."""
323,0.0,bbc-news,"""That had run its course,"""
324,0.0,bbc-news,"""And then we could use the money we had spent on that on rather more elaborate plots."""
325,0.0,bbc-news,"""The other thing,"""
326,69.08,bbc-news,"""And it's clear that, even though the other shows are popular, the specials rise above. So we thought 'that fits where we want to go'."""
327,53.56,bbc-news,"""But we can ask them, 'did that work?' And they'll go 'no', because they can see how many people turn off when James May talks, and how many more people watch when I talk. So that's very useful to us."""
328,45.76,bbc-news,"""Climate change was very definitely rammed down our throats in Cambodia,"""
329,0.0,bbc-news,"""Now, if I wanted to, I could run around the world on carbon fibre yachts, shouting and yelling and wailing,"""
330,-70.96,bbc-news,"""We just go, 'look, there's hardly any water in this lake, look at all these poor starving fishermen. That's the fact, now let's get on with making the TV show'."""
331,0.0,bbc-news,"""skidding further into irrelevance"""
332,70.03,bbc-news,"""When you think of the number of times we hit the headlines at Top Gear, that could only happen if the BBC were happy with what we were doing,"""
333,42.15,bbc-news,"""The BBC always allowed us to do whatever we liked. Until [Danny] Cohen arrived,"""
334,65.54,bbc-news,"""Make no mistake, the BBC is a fantastic and fabulous organisation, and it does allow an enormous amount of creative freedom... and Amazon are exactly the same. They might occasionally go 'well actually' but only in the same way the BBC would."""
335,0.0,bbc-news,"""Four fishermen in that area on that day were killed,"""
336,0.0,bbc-news,"""I think it's the dodgiest we've been in since that night in Argentina,"""
337,-29.6,bbc-news,"""I'd put it second to that, in terms of, 'we have no control over what's gonna happen next'."""
338,0.0,bbc-news,"""I get it from their point of view,"""
339,85.19,bbc-news,"""So why would they put themselves out on the line and say 'it got this many' when a terrestrial show got that many? At first it was like, 'Oh please, I'd love to know what we're getting', but I'm relaxed now."""
340,76.39,bbc-news,"""We were filming in Madagascar, and everybody was saying, 'Oh Grand Tour! Grand Tour!' so you know in Madagascar they're all watching it,"""
341,25.0,bbc-news,"""And when we were in France, they were all saying 'Grand Tour'. Otherwise you'd be saying, 'Who's watching this?' but they obviously are."""
342,65.92,bbc-news,"""I've never seen [Top Gear], not since I left. If you give a baby up for adoption, you don't go and peer through the window. And it's been taken away, they're doing what they're doing with it. I wish them the very best of luck, but I don't want to see what they're doing."""
343,0.0,bbc-news,"""as long as I continue to function as a human being"""
344,0.0,bbc-news,"""I think there's only six or seven countries I haven't been to now,"""
345,0.0,bbc-news,"""Even Ski Sunday wasn't allowed to film in Iran,"""
346,62.49,bbc-news,"""And they've got a great theme tune,"""
347,0.0,bbc-news,"""And they still weren't allowed."""
348,0.0,bbc-news,"""Green Deal"""
349,0.0,bbc-news,"""Just Transition Mechanism"""
350,-38.18,bbc-news,"""climate emergency"""
351,51.06,bbc-news,"""a strong signal for the future of Europe"""
352,0.0,bbc-news,"""massively"""
353,0.0,bbc-news,"""man on the Moon"""
354,0.0,bbc-news,"""carbon-intensive processes"""
355,-20.23,bbc-news,"""on to an irreversible path to climate neutrality"""
356,0.0,bbc-news,"""farm to fork"""
357,-20.23,bbc-news,"""Have you any idea of the social cost as well as the personal tragedies it will generate?"""
358,0.0,bbc-news,"""greenliner"""
359,0.0,bbc-news,"""greenwash"""
360,0.0,bbc-news,"""We have come a long way,"""
361,47.54,bbc-news,"""Engines are some 50% more efficient than 30 years ago."""
362,0.0,bbc-news,"""And once you've got the latest gas turbine on your aircraft, the next thing to do is look at the fuel you're burning,"""
363,0.0,bbc-news,"""These have the capacity to reduce the carbon footprint anywhere between 50-80% when you compare them to fossil."""
364,0.0,bbc-news,"""The costs [of bio fuels] have come down significantly as more infrastructure is built to refine these products. It may only be a few years before they can compete on par basis with cost of fossil fuel."""
365,49.27,bbc-news,"""electrification is a really good opportunity,"""
366,-22.63,bbc-news,"""It offers the possibility of a carbon neutral flight for a limited range."""
367,0.0,bbc-news,"""So it is absolutely crucial that work is done on the electric engine side."""
368,31.82,bbc-news,"""It's a huge improvement,"""
369,0.0,bbc-news,"""It's about learning and stretching the technology."""
370,0.0,bbc-news,"""Fello'fly"""
371,44.04,bbc-news,"""These are really simple things that can be done through good air traffic control. They can have an impact in the short term while we are developing the bigger harder-hitting technology."""
372,0.0,bbc-news,"""flight shamers"""
373,-62.49,bbc-news,"""We are right now at the beginning of a climate and ecological crisis. And we need to call it what it is: an emergency,"""
374,74.3,bbc-news,"""I'm optimistic because we have to be optimistic. Climate change is a challenge but we can use it as a way to have a fairer and better environment."""
375,37.74,bbc-news,"""We have to really make sure that we do bring everyone with us on this kind of journey."""
376,26.98,bbc-news,"""That means ensuring smooth visa processes, particular for people in Africa and west Africa who face really serious challenges getting visas to the UK."""
377,52.56,bbc-news,"""We expect there to be a very significant fringe to COP26 next November and that's where we can make sure that our communities will be involved, that they can have a say, that they can influence what the world leaders decide."""
378,67.05,bbc-news,"""I look forward to working with them in the coming year to develop a programme that is enjoyable and informative, and one that showcases Scotland's ambition and innovation in tackling climate change."""
379,80.74,bbc-news,"""We are delighted to be working with the Scottish government to ensure that as many people as possible across Scotland can hear their messages so that we can develop a shared understanding of how we must respond, individually and collectively, to the climate emergency."""
380,0.0,bbc-news,"""Badlands"""
381,0.0,bbc-news,"""Badlands"""
382,0.0,bbc-news,"""sandscaping"""
383,-75.06,bbc-news,"""anger management problem"""
384,72.69,bbc-news,"""a good old fashioned movie with a friend"""
385,0.0,bbc-news,"""Chill Greta, Chill!"""
386,-10.27,bbc-news,"""a teenager working on her anger management problem. Currently chilling and watching a good old fashioned movie with a friend"""
387,0.0,bbc-news,"""pirralha"""
388,-55.74,bbc-news,"""Greta's been saying Indians have died because they were defending the Amazon,"""
389,58.59,bbc-news,"""It's amazing how much space the press gives this kind of pirralha."""
390,29.6,bbc-news,"""a kind but poorly informed teenager"""
391,92.0,bbc-news,"""She seems like a very happy young girl looking forward to a bright and wonderful future."""
392,89.08,bbc-news,"""A very happy young girl looking forward to a bright and wonderful future"""
393,83.77,bbc-news,"""I felt like I was the only one who cared about the climate and ecological crisis... it makes me feel good that I'm not alone in this fight."""
394,31.82,bbc-news,"""Tell the Truth"""
395,59.94,bbc-news,"""the heavyweight champion of black holes"""
396,-34.0,bbc-news,"""ring of fire"""
397,49.39,bbc-news,"""At first I was really taken aback by it. But... I do think it is important that we highlight the women in these roles."""
398,-86.25,bbc-news,"""The blue planet is in serious danger right now, suffering many insults from many different directions and it's our fault."""
399,0.0,bbc-news,"""The simple formula is that around the planet, six million people are brought into a flooding situation for every centimetre of sea-level rise."""
400,0.0,bbc-news,"""switchgear"""
401,0.0,bbc-news,"""classical"""
402,5.16,bbc-news,"""quantum supremacy"""
403,-54.23,bbc-news,"""a bad idea"""
404,0.0,bbc-news,"""front line"""
405,-22.35,bbc-news,"""not supportive"""
406,0.0,bbc-news,"""hate"""
407,0.0,bbc-news,"""woken up the world"""
408,-51.06,bbc-news,"""achieved things that many of us who have been working on the issue for 20 years have failed to do"""
409,0.0,bbc-news,"""only reason"""
410,0.0,bbc-news,"""We just did not have time for other means of transport. But we met our cameraman there and the interview between Greta and David Attenborough was conducted by Skype, which felt the right way for the two of them to communicate."""
411,0.0,bbc-news,"""three or four years"""
412,-42.15,bbc-news,"""She stopped talking... she stopped going to school,"""
413,0.0,bbc-news,"""ultimate nightmare for a parent"""
414,0.0,bbc-news,"""see things from outside the box"""
415,45.76,bbc-news,"""very active"""
416,31.82,bbc-news,"""huge hypocrites"""
417,0.0,bbc-news,"""Greta said: 'Whose human rights are you standing up for?', since we were not taking this climate issue seriously,"""
418,0.0,bbc-news,"""energy"""
419,86.25,bbc-news,"""I did all these things, I knew they were the right thing to do... but I didn't do it to save the climate, I did it to save my child,"""
420,57.19,bbc-news,"""I have two daughters and to be honest they are all that matter to me. I just want them to be happy,"""
421,0.0,bbc-news,"""changed"""
422,61.15,bbc-news,"""very happy"""
423,63.69,bbc-news,"""You think she's not ordinary now because she's special, and she's very famous, and all these things. But to me she's now an ordinary child - she can do all the things like other people can,"""
424,86.55,bbc-news,"""She dances around, she laughs a lot, we have a lot of fun - and she's in a very good place."""
425,-5.72,bbc-news,"""don't want to change"""
426,0.0,bbc-news,"""my looks, my clothes, my behaviour and my differences"""
427,-77.83,bbc-news,"""the fake news, all the things that people try to fabricate her - the hate that that generates"""
428,33.84,bbc-news,"""incredibly well"""
429,64.86,bbc-news,"""Quite frankly, I don't know how she does it, but she laughs most of the time. She finds it hilarious."""
430,0.18,bbc-news,"""less intense"""
431,0.0,bbc-news,"""really wants to go back to school"""
432,0.0,bbc-news,"""If she needs me there, I'll try to do it,"""
433,0.0,bbc-news,"""But I think she'll be, more and more, going to do it by herself which is great."""
434,7.72,bbc-news,"""largest challenge ever"""
435,-40.19,bbc-news,"""everybody's problem"""
436,-38.18,bbc-news,"""just too uncomfortable to face"""
437,0.0,bbc-news,"""sinister"""
438,-52.91,bbc-news,"""For others I think there's a rather a more sinister feeling that this must be some kind of conspiracy,"""
439,0.0,bbc-news,"""invented by communists, illuminati or some mysterious group"""
440,34.77,bbc-news,"""So that's something I worry about a bit more, the idea that there are people who genuinely believe climate change is a huge confidence trick."""
441,0.0,bbc-news,"""expert on the nature of belief"""
442,0.0,bbc-news,"""necessarily about facts"""
443,0.0,bbc-news,"""myths"""
444,0.0,bbc-news,"""Broadly on the Conservative side, there's an assumption still that most of our ills are caused by something coming in from outside,"""
445,0.0,bbc-news,"""compelling"""
446,0.0,bbc-news,"""comforting"""
447,0.0,bbc-news,"""left wing myth"""
448,52.67,bbc-news,"""legislate justice into being"""
449,0.0,bbc-news,"""put against the wall"""
450,0.0,bbc-news,"""That's what happens when you improvise speeches in a second language,"""
451,44.97,bbc-news,"""World leaders are still trying to run away from their responsibilities, but we have to make sure they cannot do that,"""
452,59.94,bbc-news,"""We will make sure that we put them against the wall, and they will have to do their job to protect our futures."""
453,-34.0,bbc-news,"""Yesterday I said we must hold our leaders accountable and unfortunately said 'put them against the wall',"""
454,0.0,bbc-news,"""That's Swenglish: 'att ställa någon mot väggen' (to put someone against the wall) means to hold someone accountable."""
455,-28.46,bbc-news,"""Of course I apologise if anyone misunderstood this. I cannot enough express the fact that I - as well as the entire school strike movement - are against any possible form of violence. It goes without saying but I say it anyway."""
456,0.0,bbc-news,"""legend slot"""
457,34.0,bbc-news,"""be excited about"""
458,0.0,bbc-news,"""boom-bang-a-bang"""
459,0.0,bbc-news,"""Let's set a world record together"""
460,34.0,the-new-york-times,"“I decided to sail to highlight the fact that you can’t live sustainably in today’s society,”"
461,0.0,the-new-york-times,“You have to go to the extreme.”
462,0.0,the-new-york-times,“well below 2 degrees Celsius”
463,17.79,the-new-york-times,"“With every degree of warming, a child born today faces a future where their health and well -being will be increasingly impacted by the realities and dangers of a warmer world,”"
464,0.0,the-new-york-times,“Today”
465,36.12,the-new-york-times,"“I could never have imagined anything like that happening,”"
466,0.0,the-new-york-times,“surprised”
467,40.19,the-new-york-times,“I will be home for Christmas and then I will take a holiday break because you need to take rest. Otherwise you cannot do this all the time.”
468,0.0,the-new-york-times,“ridiculous”
469,-57.19,the-new-york-times,“work on her anger management problem”
470,0.0,the-new-york-times,“chill.”
471,0.0,the-new-york-times,"“So ridiculous,”"
472,-22.25,the-new-york-times,"“Greta must work on her anger management problem, then go to a good old fashioned movie with a friend! Chill Greta, Chill!”"
473,-57.19,the-new-york-times,"“A teenager working on her anger management problem,”"
474,42.15,the-new-york-times,“Currently chilling and watching a good old fashioned movie with a friend.”
475,0.0,abc-news-au,"""As #COP25 has officially been moved from Santiago to Madrid I'll need some help,"""
476,40.19,abc-news-au,"""Now I need to find a way to cross the Atlantic in November … If anyone could help me find transport I would be so grateful."""
477,77.13,abc-news-au,"""So happy to say that I'll hopefully make it to COP25 in Madrid,"""
478,0.0,abc-news-au,"""I've been offered a ride from Virginia on the 48ft catamaran La Vagabonde. We sail for Europe tomorrow morning!"""
479,0.0,abc-news-au,"""If I get to the COP25 in time then I will participate in that because I received an invitation to do so. And then I will go home,"""
480,-68.08,abc-news-au,"""We've suffered terrifying storms, pirate scares, financial breakdowns, equipment failures, water shortages and other interesting mishaps, but we wouldn't trade living on the sea and traveling wherever the wind takes us for anything,"""
481,0.0,abc-news-au,"""Elayna and I responded [to Ms Thunberg's tweet], and about a week later here we are about to sail 3,000 nautical miles across to Europe,"""
482,39.39,abc-news-au,"""It sort of came back through to us through a back channel and they just said, 'are you available, do you think you can do it? We've been let down a couple of times, are you sure you would be able to do it?'"""
483,-27.55,abc-news-au,"""When I met her I wasn't ready for quite how young and short she would be,"""
484,81.26,abc-news-au,"""She's smart, kind of powerful and independent, she's a good person to have around."""
485,0.0,abc-news-au,"""The journey is long and fairly complicated. The northern Atlantic at this time of year is fairly treacherous,"""
486,83.5,abc-news-au,"""On this particular trip the first 500 or 600 nautical miles are super important, so it's good that we've been able to choose our window, which is tomorrow morning."""
487,31.82,abc-news-au,"""When we arrived there was, I don't know, thousands of people waiting and then huge amounts of media,"""
488,22.35,abc-news-au,"""It was one of those things that we couldn't say no to,"""
489,89.9,abc-news-au,"""But we had a really good boat, really good crew, so we thought well, if anyone's fit and up for the task there's no better people than us right now, so let's just give it a go."""
490,45.88,abc-news-au,"""Honestly it could not have been better,"""
491,77.78,abc-news-au,"""And Svante kept our spirits high, he's just really funny and he knew how to make us all laugh, which was great."""
492,-55.74,abc-news-au,"""So one of the things that I really wanted to do on this trip was to film Greta with Lenny, film her stressed and worried and really show the human side of her,"""
493,0.0,abc-news-au,"""But if there's a discussion to be had on climate change or politics then she's the first person you'd turn to."""
494,0.0,abc-news-au,"""microscopic"""
495,7.72,abc-news-au,"""Greta being 16 you'd think that she would let those negative comments really get to her and anger her, but honestly it is the opposite,"""
496,-12.81,abc-news-au,"""She really didn't want all of this attention … she's not in it for herself, she's in it for the cause and she wants people to use their voices — that was the main thing she spoke about."""
497,-5.16,abc-news-au,"""I mean when people in power are criticising you like that, that is only proof that you are having an impact,"""
498,-3.15,abc-news-au,"""That you among others are bringing change or trying to bring change and many people don't want that, and of course they will do everything they can to try to prevent change from happening."""
499,-51.06,abc-news-au,"""angry kid"""
500,-51.06,abc-news-au,"""I think people are underestimating the force of angry kids,"""
501,-49.39,abc-news-au,"""I think they [people] will be shocked at how human and vulnerable she is,"""
502,86.76,abc-news-au,"""If they see her the way that I do now, as a very nice, quiet, respectful, brave young lady, I think that it will change a lot of minds."""
503,0.0,abc-news-au,"""So a crossing in November in the north Atlantic is going to always be very difficult,"""
504,54.13,abc-news-au,"""And she was really relaxed on that trip, you could tell the difference,"""
505,80.16,abc-news-au,"""But within a few days she was at ease and doing her exercises, listening to her audio book, helping me with the cooking and she just seemed really relaxed, you could tell."""
506,15.31,abc-news-au,"""We just went through something huge together … it's a bit weird to never talk again after what we just experienced,"""
507,31.82,abc-news-au,"""We'll be talking about this for the rest of their lives I'm sure — it's a story for your grandchildren."""
508,44.97,abc-news-au,"""Elayna and I have crossed oceans before … but this particular trip injected a sense of adventure and purpose into our journey that we hadn't really had before,"""
509,0.0,abc-news-au,"""home"""
510,0.0,abc-news-au,"""energised"""
511,0.0,abc-news-au,"""finally understand the urgency"""
512,-51.06,abc-news-au,"""People are underestimating the force of angry kids,"""
513,36.12,abc-news-au,"""We can't require, from everyone, to rely on people like this to sail you across the ocean, that is absurd,"""
514,-10.27,abc-news-au,"""It turns out I've travelled half around the world, the wrong way. Now I need to find a way to cross the Atlantic in November … If anyone could help me find transport I would be so grateful."""
515,0.0,abc-news-au,"""Estimated time of arrival right now is Tuesday morning [local time]. We'll be arriving at Doca de Alcantara, Lisbon. We are all looking forward to see you there!"""
516,0.0,abc-news-au,"""unthinkable"""
517,44.04,abc-news-au,"""She is making a statement that you don't always have to take the easy way,"""
518,0.0,abc-news-au,"""delighted"""
519,45.76,abc-news-au,"""most definitely not the case"""
520,40.19,abc-news-au,"""As part of the UW Libraries Special Collections, the photo in question is an original,"""
521,0.0,abc-news-au,"""Youths operating gold mines on Dominion. Klondyke, YT"""
522,40.19,abc-news-au,"""The Hegg collection came into the Libraries Special Collections in the 1960s, pre-dating modern record keeping that would illuminate more detailed information, such as who donated the collection, or prior ownership,"""
523,0.0,abc-news-au,"""We were leaving the restaurant and it's just a random hanging picture directly opposite of The Crab Pot,"""
524,55.74,abc-news-au,"""I'm a huge fan of Greta and everything she's doing."""
525,0.0,abc-news-au,"""ridiculous"""
526,0.0,abc-news-au,"""almost as if she flew into our space time continuum"""
527,62.27,abc-news-au,"""Conspiracy theories aside, we are delighted that the collection is receiving attention because it underscores the historical importance of the images as well the unique role that Libraries and other archives play, not only in safekeeping, but in telling these stories, and ensuring accessibility,"""
528,23.82,abc-news-au,"""I hope the world will listen, not just to her, but to scientific facts,"""
529,0.0,abc-news-au,"""The answers are in front of us, we just need our political leaders to jump on board."""
530,0.0,abc-news-au,"""Estimated time of arrival right now is Tuesday morning [local time]. We'll be arriving at Doca de Alcantara, Lisbon. We are all looking forward to see you there!"""
531,-52.67,abc-news-au,"""the point of no return is no longer over the horizon"""
532,22.63,abc-news-au,"""We simply have to stop digging and drilling and take advantage of the vast possibilities offered by renewable energy and nature-based solutions."""
533,0.0,abc-news-au,"""As #COP25 has officially been moved from Santiago to Madrid I'll need some help."""
534,-10.27,abc-news-au,"""It turns out I've travelled half around the world, the wrong way. Now I need to find a way to cross the Atlantic in November … If anyone could help me find transport I would be so grateful."""
535,0.0,abc-news-au,"""sheer scale"""
536,15.31,abc-news-au,"""This is the warming world we have long been warning about. Now we're seeing it play out before our eyes."""
537,-57.19,abc-news-au,"""This is climate chaos — what it actually looks like,"""
538,0.0,abc-news-au,"""point at issue"""
539,0.0,abc-news-au,"""achieved nothing"""
540,20.23,abc-news-au,"""solve the climate crisis."""
541,0.0,abc-news-au,"""superpower"""
542,40.19,abc-news-au,"""definitely helped me keep this focus"""
543,0.0,abc-news-au,"""critical"""
544,-29.6,abc-news-au,"""then stop driving cars"""
545,0.0,abc-news-au,"""don't turn on your TV"""
546,0.0,abc-news-au,"""strawman"""
547,58.59,abc-news-au,"""brilliant choice"""
548,70.96,abc-news-au,"""clever accounting and creative PR"""
549,79.64,abc-news-au,"""In the 16 months since, she has addressed heads of state at the UN, met with the Pope, sparred with the President of the United States and inspired 4 million people to join the global climate strike on September 20, 2019, in what was the largest climate demonstration in human history,"""
550,20.23,abc-news-au,"""Margaret Atwood compared her to Joan of Arc. After noticing a hundredfold increase in its usage, lexicographers at Collins Dictionary named Thunberg's pioneering idea, climate strike, the word of the year."""
551,58.59,abc-news-au,"""brilliant choice"""
552,-12.8,abc-news-au,"""Greta embodies the moral authority of the youth activist movement demanding that we act immediately to solve the climate crisis. She is an inspiration to me and to people across the world,"""
553,78.97,abc-news-au,"""I was very surprised when I found out because it's so … I could never have imagined anything like that happening. It's so unexpected, so I am of course very grateful for that, very honoured,"""
554,0.0,abc-news-au,"""But as I have said before, I should not be the one to be person of the year, it should be everyone in the Fridays for Future movement because what we have done, we have done together."""
555,0.0,abc-news-au,"""climate emergency."""
556,61.24,abc-news-au,"""The real danger is when politicians and CEOs are making it look like real action is happening, when in fact almost nothing is being done, apart from clever accounting and creative PR,"""
557,20.48,abc-news-au,"""Finding holistic solutions is what the COP should be all about, but instead it seems to have turned into some kind of opportunity for countries to negotiate loopholes and to avoid raising their ambition."""
558,0.0,abc-news-au,"""Climate Justice!"""
559,-64.86,abc-news-au,"""we have underestimated the pace of change and we have underestimated the risks we are facing."""
560,0.0,abc-news-au,"""We stand on an unprecedented mountain of truth,"""
561,-74.3,abc-news-au,"""If nature fails, we fail as well."""
562,0.0,abc-news-au,"""This is not leading, this is misleading,"""
563,0.0,abc-news-au,"""every fraction of a degree matters."""
564,0.0,abc-news-au,"""To stay below 1.5 degrees we need to keep the carbon in the ground."""
565,83.16,abc-news-au,"""the Quiet Australians who have won a great victory tonight"""
566,31.82,abc-news-au,"""It has been those Australians who have worked hard every day, they have their dreams, they have their aspirations; to get a job, to get an apprenticeship, to start a business, to meet someone amazing,"""
567,90.81,abc-news-au,"""To start a family, to buy a home, to work hard and provide the best you can for your kids. To save for your retirement and to ensure that when you're in your retirement, that you can enjoy it because you've worked hard for it."""
568,0.0,abc-news-au,"""Every single thing that he said, is what we are,"""
569,68.01,abc-news-au,"""We consider ourselves very lucky to be in a country like Australia,"""
570,25.67,abc-news-au,"""What we want to do is just put our head down, work really, really hard, make it somehow, provide for a child who's got special needs."""
571,0.0,abc-news-au,"""I think I am a Quiet Australian,"""
572,0.0,abc-news-au,"""All I'm doing is I tell myself, I'll get my day at the poll, at the voting station. And that's when we will tell people what we think and that's what we did."""
573,0.0,abc-news-au,"""Quiet Australians are the majority, so they are a very diverse group"""
574,-42.01,abc-news-au,"""Being the majority means it's very difficult to pin down exactly what they look like,"""
575,-49.93,abc-news-au,"""I think there is this theory that there is somehow a forgotten, quiet bunch of conservatives somewhere. That's not true at all."""
576,-25.84,abc-news-au,"""The commonality is that they are quiet. They are not engaging in the social media debate. They are not talking about politics so much. They are not protesting."""
577,40.19,abc-news-au,"""the phrase 'quiet Australians' is an interesting one, because we have to remember that actually it's Mr Morrison's rhetorical phrase"""
578,0.0,abc-news-au,"""It's not a description of a group that are out there who are thinking, you know, in the way say class once was."""
579,15.31,abc-news-au,"""When Morrison talks about the Quiet Australians, we can see behind that Howard's battlers, and even further back we can see Robert Menzies' forgotten people from his wartime speech that's become a sort of iconic Liberal Party message now,"""
580,-80.74,abc-news-au,"""But also, they've all got a bit of an edge of grievance or a bit of a worry about being neglected. The forgotten people want to be remembered, the battlers contrast the people who have it easy, the Quiet Australians contrast with the noisy."""
581,-5.16,abc-news-au,"""tend to be focused very much on those immediate and personal concerns and, I guess, therein lies the rub, because we have a group of people who do live in the inner city and they've sometimes been called the elite"""
582,4.8,abc-news-au,"""In the olden days we would have called them the upper class. They are closer to power, closer to the centre of politics, to media, to academia, to business. And they are seen by the majority to be somewhat distracted by social issues, progressive issues sometimes, and more insider political debates, and they seem to be distracted from those very immediate issues, and the majority is simply repaying that in kind by disengaging from those political debates … social media debates. Hence Quiet Australians."""
583,0.0,abc-news-au,"""I wouldn't say I'm very quiet. But I think in the terms of what Scott Morrison was saying, I'm a Quiet Australian, yes,"""
584,0.0,abc-news-au,"""I think the clincher came for me when [Labor leader Bill] Shorten stood beside the electric car and started carrying on about electric cars,"""
585,49.39,abc-news-au,"""I like practical, down to earth, real solutions, things that you can actually do and achieve. Not all the la la land stuff."""
586,40.19,abc-news-au,"""Yeah, I definitely think that when someone referred to this Quiet Australians it was talking about us,"""
587,0.0,abc-news-au,"""I think quiet Australians are people that are probably just too busy … we're busy with families, we're busy with kids."""
588,0.0,abc-news-au,"""outside the inner suburbs of our major cities"""
589,75.06,abc-news-au,"""By virtue of that they tend to have average, lower incomes, they have fewer job opportunities, and they have less access to infrastructure and services than we enjoy in the centre of our cities,"""
590,0.0,abc-news-au,"""The reason for the [election] result in Queensland, for example, is really a result of there being more Quiet Australians out there who are outside the inner city. They are in suburbia, they are in regional centres, they are in the country."""
591,92.17,abc-news-au,"""I think it's nice that he's got a nice wife, she seems lovely, and two lovely little girls,"""
592,57.19,abc-news-au,"""If you invited him for a cup of tea [he] will be happy to come down to your house,"""
593,80.2,abc-news-au,"""I have a great respect for him,"""
594,-75.06,abc-news-au,"""I know him from his tourism days — 'Where the bloody hell are you?' You know, and he's a Sharks supporter. He's a rugby league man. And he's a churchgoer."""
595,-61.15,abc-news-au,"""I think Quiet Australians see some of the protests and social media campaigns to be quite bitter and divisive,"""
596,-20.57,abc-news-au,"""They see people supergluing themselves to road crossings in Brisbane, or having the luxury of driving a caravan up from Tasmania to Queensland to talk about climate change, and it's not that they don't care about those issues, but they are taking very practical personal steps to address environmental concerns rather than going out and protesting."""
597,-12.8,abc-news-au,"""You know, what is Extinction Rebellion doing?"""
598,0.0,abc-news-au,"""They don't need to do that. We already know that. But they are just getting offside by doing all the antics that they're doing by disrupting our way of going to work and everything. And it doesn't help."""
599,0.0,abc-news-au,"""Lately there's just been so much hysteria,"""
600,0.56,abc-news-au,"""And the whole Greta [Thunberg] factor, and everyone swanning around becoming absolutely ridiculously hysterical over it. And I think I really liked [that] Scott Morrison basically said, we won't be swayed by any of that, we will do what we're going to do."""
601,20.23,abc-news-au,"""I think everybody agrees it's an issue,"""
602,6.83,abc-news-au,"""And for some people, it may not be the most important issue. The noisy Australians almost make you feel like you don't care about climate change."""
603,7.72,abc-news-au,"""very practical and things that he says we want to believe him, we are believing him"""
604,-33.43,abc-news-au,"""Things such as the Newstart allowance. My opinion on that is very different. I don't agree with what the Government is doing, and that's where we feel that he probably let us down."""
605,-43.91,abc-news-au,"""One thing that I am quite annoyed by is the amount of Newstart,"""
606,0.0,abc-news-au,"""It's not going to be money that's going to be put in savings accounts, it's going to be money that's going to be spent immediately."""
607,36.12,abc-news-au,"""I feel that if we keep increasing these allowances, where's the incentive for somebody to come off the allowance?"""
608,0.0,abc-news-au,"""The Government is not doing enough for the farmers,"""
609,-47.67,abc-news-au,"""If they don't produce food, we don't get to eat any food or get to eat. Everybody suffers at the end of the day."""
610,36.12,abc-news-au,"""I like the idea of this recent package that they're going to put money into the towns,"""
611,0.0,abc-news-au,"""because I think that's very often forgotten."""
612,0.0,abc-news-au,"""I think he is doing enough,"""
613,0.0,abc-news-au,"""From the election policies, they are doing what they said that they will do, and that's what we voted for."""
614,0.0,abc-news-au,"""In the six months after the election, Mr Morrison has lived up to expectations perhaps 85 to 90 per cent,"""
615,0.0,abc-news-au,"""It's only been six months. Until it's been two or three years, it's too early to tell."""
616,0.0,abc-news-au,"""Watch this space I guess,"""
617,65.9,abc-news-au,"""this seems to be a lot more stable Government than we've had in a long time, in a long time. And that makes me feel a bit better"""
618,0.0,abc-news-au,"""There's always scope for improvement,"""
619,0.0,abc-news-au,"""But I think he's doing OK."""
620,-5.16,abc-news-au,"""People's houses, people's finances are under a lot of strain. And we don't really know what it is that Morrison wants to do except stay in government, and he seems to me to be a very reactive prime minister."""
621,93.71,abc-news-au,"""Australians are great at giving people a chance, giving people an opportunity, and I think they are willing to do that. But certainly they want these issues addressed."""
622,-40.19,abc-news-au,"""I know, because I'm a Sydneysider, how unusual it is to see that haze across my city, and I know how distressing that would be, particularly for young people who haven't seen that before,"""
623,49.39,abc-news-au,"""So that is why I think it is important to have a sense of calm on these matters on the basis of information."""
624,0.0,abc-news-au,"""We will continue to work to reduce our emissions, as we should,"""
625,-34.0,abc-news-au,"""But what we cannot say, what no-one can say, is those programs, of themselves, are in any way directly linked to any fire event."""
626,-38.18,abc-news-au,"""climate emergency"""
627,36.12,abc-news-au,"""carry-over credits"""
628,0.0,abc-news-au,"""embarrassing"""
629,0.0,abc-news-au,"""This Government needs to act now,"""
630,0.0,abc-news-au,"""It doesn't have a plan to deal with its existing plan."""
631,0.0,abc-news-au,"""thoughts and prayers are not enough"""
632,0.0,abc-news-au,"""Mr Morrison, as Prime Minister your thoughts and prayers are not enough,"""
633,-31.82,abc-news-au,"""I want climate action. This is a crisis. Act like it."""
634,0.0,abc-news-au,"""We need climate action. Thoughts and prayers aren't enough"""
635,0.0,abc-news-au,"""You're burning our future"""
636,-34.0,abc-news-au,"""denying science"""
637,-31.82,abc-news-au,"""lost everything"""
638,-31.82,abc-news-au,"""On Friday the 8th of November, our entire town of Nymboida was swept through by a massive bushfire. We lost our house and so did many of my other friends,"""
639,7.72,abc-news-au,"""They're just clearly denying the science,"""
640,-62.73,abc-news-au,"""Unfortunately, school students don't feel like we have a choice, we feel like we have to be out here demanding action,"""
641,-31.82,abc-news-au,"""desperate action for a dying planet"""
